project,site,geom,longitude,latitude
NT Bushfires - Three parks,S_k_276,POINT (132.9339859999286 -12.495154999987129),132.934,-12.4952
NT Bushfires - Three parks,S_k_277,POINT (132.96737999992857 -12.418722000008657),132.9674,-12.4187
NT Bushfires - Three parks,S_k_278,POINT (132.95390599992854 -12.446204999958608),132.9539,-12.4462
NT Bushfires - Three parks,S_k_279,POINT (132.14914999995537 -13.271809999970136),132.1491,-13.2718
NT Bushfires - Three parks,S_k_280,POINT (132.65346799993267 -13.433520000007928),132.6535,-13.4335
NT Bushfires - Three parks,S_k_281,POINT (132.9865609999272 -12.845607999998842),132.9866,-12.8456
NT Bushfires - Three parks,S_k_282,POINT (132.88044899993247 -12.4699309999777),132.8804,-12.4699
NT Bushfires - Three parks,S_k_283,POINT (132.94673599992802 -12.758763999984671),132.9467,-12.7588
NT Bushfires - Three parks,S_k_284,POINT (132.54905999993835 -12.812213000018406),132.5491,-12.8122
NT Bushfires - Three parks,S_k_285,POINT (132.85433799992768 -13.442622000024112),132.8543,-13.4426
NT Bushfires - Three parks,S_k_286,POINT (132.93165799992872 -12.999864999982687),132.9317,-12.9999
NT Bushfires - Three parks,S_k_287,POINT (132.54660999993777 -12.821209999994753),132.5466,-12.8212
NT Bushfires - Three parks,S_k_288,POINT (132.60572999992843 -13.636309999990521),132.6057,-13.6363
NT Bushfires - Three parks,S_k_289,POINT (132.81347999992806 -12.676230000024814),132.8135,-12.6762
NT Bushfires - Three parks,S_k_290,POINT (132.8741249999301 -12.82340999999924),132.8741,-12.8234
NT Bushfires - Three parks,S_k_291,POINT (132.85472999993135 -12.78313300001691),132.8547,-12.7831
NT Bushfires - Three parks,S_k_292,POINT (132.6233559999264 -13.741232999996539),132.6234,-13.7412
NT Bushfires - Three parks,S_k_293,POINT (132.48731999993566 -13.410299999974917),132.4873,-13.4103
NT Bushfires - Three parks,S_k_294,POINT (131.9857689998878 -12.536049999981683),131.9858,-12.536
NT Bushfires - Three parks,S_k_295,POINT (132.91813599993029 -12.888082999989136),132.9181,-12.8881
NT Bushfires - Three parks,S_k_296,POINT (132.92988999993545 -12.476831000031716),132.9299,-12.4768
NT Bushfires - Three parks,S_k_297,POINT (132.78871199993267 -12.865061999990187),132.7887,-12.8651
NT Bushfires - Three parks,S_k_298,POINT (132.9975889999312 -12.6342779999925),132.9976,-12.6343
NT Bushfires - Three parks,S_k_299,POINT (132.7706699999232 -13.733464999968772),132.7707,-13.7335
NT Bushfires - Three parks,S_k_300,POINT (132.97799399993048 -12.863039000001837),132.978,-12.863
NT Bushfires - Three parks,S_k_301,POINT (132.95878899992528 -12.861791999971071),132.9588,-12.8618
